ESTABLISHMENTNAME,EXACT LOCATION,STREETADDRESS,SUBURB,TOWNNAME,POSTALADDRESS,PHONE,PRINCIPALECONOMIC ACTIVITY
HARUNA'S SCRAP DEALING LIMITED,MALAM ISSAH'S HOUSE INFRONT OF ABOAGYEKROM PARK,ABOAGYEMKROM SANET STREET,ABOAGYEKROM,OBUASI,,244931903,Other retail sale of new goods in specialized stores
HASNEM SELRAHC,ADJACENT MULTICREDIT BUILDING,OBUASI HIGH STREET,ABTOBOASE,OBUASI,"P. O. BOX 1314, OBUASI CENTRAL",245191350,Retail sale of audio and video equipment in specialized stores
HAVE FAITH IN GOD SHOP,ADJACENT RAILWAYS POLICDE STATION,GOVERNMENT HILL AVE ROAD,CENTRAL,OBUASI,,200235947,"Manufacture of wearing apparel, except fur apparel"
HAWA ENTERPRISE,BEHIND THE METHODIST  CHURCH BH 30/C,ATOPLANS ROAD,BRAHABEBOME,OBUASI,,244933498,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
HAWA ISAH'S PROVISIONS STORE,ADJACENT NTRIWAA'S PUB,SAM JONAH ESTATE ROAD,KFFIEKROM,OBUASI,,262792855,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
HAWA OSMAN'S PROVISION STORE,BEHIND OBUASI SENIOR HIGH TECHNICAL SCHOOL,SAM JONAH ESTATE ROAD,KOFFEKROM,OBUASI,,246957045,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
HAWA'S PROVISIONS STORE,AROUND MARIDIAN GUEST HOUSE ADJACENT HOUSE NO. BE69/A,BRYANT MISSION HOSPITAL ROAD,BOETE,OBUASI,,240870655,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
HAWA'S PROVISIONS STORE,JJ HOUSE NO. 9 PLOT NN 32,AYAASE LANE,NEW NSUTA,OBUASI,,246462019,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
HEAVEN CITIZENS CHURCH,BEHIND THE LORD SERVANT SCHOOL NO. BH 52/1,SENATE ROAD,BRAHABEBOME,OBUASI,"P. O. BOX 1105, OBUASI",246126040,Activities of religious organizations
HEAVEN GATE NO BRIBE-TAILORING SHOP,NEXT TO AUNTI PROVISIONS STORE,,OLD ESTATE,OBUASI,,244120647,"Manufacture of wearing apparel, except fur apparel"
HEILNA OWUSU'S BEAUTY ALON,BEHIND CHEAP HOUSE ENTERPRISE,,BRAHABEBOME,OBUASI,,540645429,Hairdressing and other beauty treatment
HELENA 'S BASE,OPPOSITE TOTAL FILLING STATION,,WAWASI,OBUASI,,245500218,Manufacture of wines
HELENA'S SHOP,INFRONT OF TABUA VILLA,PIPE LINE ROAD,BOETE,OBUASI,,245459090,"Manufacture of wearing apparel, except fur apparel"
HELIBERT COLLECTIONS,OPPOSITE HOUSE NUMBER KO/59,PADMOND-ADANSI HIGH STREET,KWABRAFOSO,OBUASI,"P. O. BOX 7025, KUMASI",243752082,"Manufacture of wearing apparel, except fur apparel"
HELINA ADDAE'S PROVISIONS STORE,"STORE NO. 67, OPPOSITE STORE NO. 86",ALONG CENTRAL MARKET ROAD,CENTRAL MARKET,OBUASI,,200644602,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
HELINA AKUBAN'S PROVISION SHOP,STORE NO. 80 OPPOSITE YAM SELLER,CENTRAL MARKET ROAD,CENTRAL MARKET,OBUASI,,246649099,Retail sale of food in specialized stores
HELINA FASHION SHOP,HOUSE NO. BE 64/A BESIDES WITH GOD ALL THINGS AREPOSSIBLE,BRYANT MISSION HOSPITAL ROAD,BOETE,OBUASI,,541411171,"Manufacture of wearing apparel, except fur apparel"
HELINA'S STORE,BEHIND MR. ADU GYAMBREH'S HOUSE,KOKOTEASUA ROAD,KOKOTEASUA,OBUASI,"P. O. BOX 411, OBUASI",540357613,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
HELINE MENSAH'S BOUTIQUE,INFRONT OF GOD'S DISCIPLE COLLEGE CHURCH,BIDIEM MAIN ROAD,RIDGE,OBUASI,,262969080,"Retail sale of clothing, footwear and leather articles in specialized stores"
HERTY BEAUTY SALON,ADJACENT EATON TURNER SHAFT,,WAWASI,OBUASI,,247216903,Hairdressing and other beauty treatment
HILDA'S PROVISIONS SHOP,ADJACENT PIRAYVON HOTEL,PRIAYVON HOTEL ROAD,ABOMPE-NORTH NYAMEBEKYERE,OBUASI,,277480020,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
HILL TOP BEAUTY SALON,OPPOSITE TABUA VILLA,BOETE ROAD,BOETE,OBUASI,"P. O. BOX 79, OBUASI",243188894,Hairdressing and other beauty treatment
HIS GRACE ENTERPRISE,ADJACENT RAILWAY LINE,OBUAIS POLICE WALK ROAD,ETS,OBUASI,,NULL,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
HIS MAJESTY BARBERING SHOP,INFRONT OF HOUSE NO NNB 34A/C,,NEW NYAMEBEKYERE,OBUASI,,245807910,Hairdressing and other beauty treatment
HIS PERFECT EYES BEAUTY CLINIC,ADJACENT THE NIB BANK,BLACK STAR HOTEL STREET,KWABRAFOSO,OBUASI,,547422815,Hairdressing and other beauty treatment
HIS PERFECT HANDS BEAUTY SALON,ADJACENT SWIMMING POOL,,SAMPSONKROM,OBUASI,,547422815,Hairdressing and other beauty treatment
HOLIDAY GUEST HOUSE,,,OBUASI,OBUASI,"C/O SENA DUGBA A.G.A, OBUASI",NULL,Short term accommodation activities
HOLLYWOOD VENTURES,OPPOSITE NYAME AKWN FLORA OBENG ENTERPRISE,OFORI AGYEMANG II,ANTOBOASE,OBUASI,,247277542,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores"
HOLLYWOOD VENTURES,OPPOSITE PETRO AFRIQUE,OPWUSU SAMPA ROAD,OBGOBIRI,BOGOBIRI,,243978443,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores"
HOLY BOY TAILORING  SHOP,BEHIND THE GLO POLE,,OLD ABOMPE,OBUASI,,246115400,"Manufacture of wearing apparel, except fur apparel"
HOLY FAMILY CHURCH,OPPOSITE HOUSE NO. NNB 1A/B,,NEW NYAMEBEKYERE,OBUASI,"P. O. BOX 921, OBUASI",200687135,Activities of religious organizations
HOLY FAMILY CO-OPERATIVE CREDIT UNION,,,OBUASI,OBUASI,", OBUASI",NULL,Other monetary intermediation
HOLY GHOST FASHION CENTRE,,,OBUASI,OBUASI,"P.O.BOX 81, OBUASI",NULL,Specialized design activities
HOLY TRINITY BARBERING,ADJACENT TIMBER MARKET,BOETE ROAD,BOETE TIMBER MARKET,OBUASI,,248015765,Hairdressing and other beauty treatment
HOLY TRINITY PREPARATORY SCHOOL,OPPOSITE L/A JHS PARK/FOOTBALL FIELD,ALONG BRYANT MISSION HOSPITAL ROAD,BOETE,OBUASI,"P. O. BOX 740, OBUASI",242729928,Pre-primary and primary education
HOME OF PEACE COLD STORE,INFRONT OF HOUSE NO. TT 8A B,AMANKYEM ROAD,TUTUKA,OBUASI,,242912885,Retail sale of food in specialized stores
HONEYPOP WINE SHOP,OPPOSITE BOETE FIRE SERVICE,BOETE ROAD,BOETE,OBUASI,"P. O. BOX 557, OBUASI",244089580,Beverage serving activities
HOPAS PRINTING PRESS,ADJACENT SUNKWA CHOP BAR,TUTUKA ROAD,TUTUKA,OBUASI,"P. O. BOX 12, OBUASI",246409619,Service activities related to printing
HOPE OF GLORY SALON,ADJACENT SALABU FOREX BREAU,OBUASI HIGH STREET,NEW NSUTA,OBUASI,,267059395,Hairdressing and other beauty treatment
HOPE OF GLORY SALON,ADJACENT RAILWAYS POLICE SANTIAGO,GOVERNMENT HILL AVE RAOD,CENTRAL,OBUASI,,549676808,Hairdressing and other beauty treatment
HOUSE OF FAITH MINISTRIES,"BEHIND COCA-COLA DEPOT, BOSSMAN,OBSI",,OBUASI,OBUASI,"P.O.BOX AX 374, OBUASI",NULL,Activities of religious organizations
HOUSE OF PROMISE,ADJACENT IN GOD WE TRUST TOILET,CENTRAL MARKET ROAD,NEW NSUTA,OBUASI,,245917944,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
HULDA OWUSU ANSAH'S SHOP,OPPOSITE HOUSE NO. TT/60A/I,,TIATIASO,OBUASI,,246369049,"Manufacture of wearing apparel, except fur apparel"
HURRIYET BOUTIQUE,OPPOSITE MR BEN CHEMICAL SHOP,,OLD ESTATE,OBUASI,,246394723,"Retail sale of clothing, footwear and leather articles in specialized stores"
HUSEINI'S STORE,HALIDU'S HOUSE OPPOSITE KWABU'S JUNCTION,AMANKYEM ROAD,ABOAGYEKROM,OBUASI,,243688418,Other retail sale of new goods in specialized stores
IDEAS SPOT,OPPOSITE SUFRE GUEST HOUSE,BRAHABEBOME,LOW COST,OBUASI,,245005844,Beverage serving activities
IF GOD SAYS YES MOTOR REWINDING ELECTRICALS,ADJACENT MTN MAST,,SAMPSONKROM,OBUASI,,507253305,Repair of machinery
IKECONNIE ENTERPRISE,"H/N.730,SAM JONAH ESTATES, OBUASI.",,OBUASI-ADANSI,OBUASI,"P.O.BOX 10, OBUASI-ADANSI",NULL,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
IN GOD I TRUST TAILORING SHOP,BEHIND THE METHODIST SCHOOL,,TUTUKA,OBUASI,"P. O. BOX 219, OBUASI",243573663,"Manufacture of wearing apparel, except fur apparel"
IN GOD WE TRUSE SPECIALIZED MECHANICS,ADJACENT KISSI DAWUDA'S SHOP,BIDIEM MAIN ROAD,RIDGE,OBUASI,,246649289,Maintenance and repair of motor vehicles
IN GOD WE TRUST BEAUTY SALON,ADJACENT THE MOTOR FITTING SHOP,,KWABRAFOSO,OBUASI,,549082743,Hairdressing and other beauty treatment
IN GOD WE TRUST FASHION,OPPOSITE SPORTS STADIUM LEN CLAY,ABOMPE NEW SITE ROAD,OLD ESTATE,OBUASI,,267616468,"Manufacture of wearing apparel, except fur apparel"
IN HIM IS LIFE ELECTRONICS,OPPOSITE HOUSE NN/64B ADJACENT PRIAYVON HOTEL,PIRAYVON HOTEL ROAD,ABOMPE-NORTH NYAMEBEKYERE,OBUASI,"P. O. BOX 188, OBUASI",246512105,Repair of consumer electronics
IN HIM IS LIFE MECHANIC SHOP,ADJACENT PETROL AFRIQUE (YAW FOSU),MANGOASE -BOGOBIRI ROAD,RAMIA,OBUASI,,277864798,"Sale, maintenance and repair of motorcycles and related parts and accessories"
IN SHAA ALLAH BEAUTY SALON,OPPOSITE CHARIMAN MORO'S BUILDING,SEVEN DAY STREET,TUTUKA,OBUASI,,249127185,Hairdressing and other beauty treatment
INDEPENDENCE J.H.S B,"BRAHABEBOME INDPENDNCE J.H.S B, CLOSE TO M/APRIMARY A",,BRAHABEBOME,OBUASI,"P. O. BOX 124, OBUASI",NULL,General secondary education
INDEPENDENCE M/A J.H.S 'A',ADJACENT KOFI'S STORE,,BRAHABEBOME,OBUASI,"P. O. BOX 124, OBUASI",NULL,General secondary education
INDEPENDENCE M/A PRIMARY A,INDEPENDENCE PRIMARY A COMPOUND,,BRAHABEBOME,OBUASI,"P. O. BOX 124, OBUASI",NULL,Pre-primary and primary education
INDEPENDENCE PRIMARY 'B',ADJACENT MATTHEW 7:7 STORE,INDEPENDENCE ROAD,BRAHABEBOME,OBUASI,"P. O. BOX 124, OBUASI",NULL,Pre-primary and primary education
INDO-AFRICA EXIM LIMITED (MELCOM),,,OBUASI,OBUASI,"P.O.BOX 1001, OBUASI",NULL,Other retail sale in non-specialized stores
INFINITY LABORATORY SERVICES,BEHIND METRO MASS TERMINAL,RAILWAYS,CENTRAL,OBUASI,"P. O. BOX 186, OBUASI",200946344,Other human health activities
INSHAALLAH BEAUTY SALON,ISSAH SUMAILA'S HOUSE ALONG ABU BROTHER'S STREET,ABU BROTHER'S STREET,ABOAGYEKROM,OBUASI,,247730796,Hairdressing and other beauty treatment
INSHALLAH AND YUSIF PUBLICATIONS,ADJACENT AFOKWAH GUINNESS DEPOT,BRAHABEBOME HIGH STREET,BRAHABEBOME,OBUASI,,249091112,"Photocopying, document preparation and other specialized office support activities"
INTERNATIONAL CENT. GOSP.CH.TUTUKA ASSEMBLY,"AT THE METH.SCHOOL,TUTUKA, OBUASI",,OBUASI,OBUASI,"P.O. BOX 77, OBUASI",NULL,Activities of religious organizations
ISAAC  TETTEH'S SHOP,OPPOSITE CYNTHIA KENKEY OPPOSITE,S.D.A ROAD,NEW ESTATE,OBUASI,"P. O. BOX 66, OBUASI",246243929,"Manufacture of wearing apparel, except fur apparel"
ISAAC AGYEI'S T-SHIRTS SHOP,BEHIND THE CENTRAL MARKET B,CENTRAL STATION ROAD,NEW NSUTA,OBUASI,,243504524,"Retail sale of clothing, footwear and leather articles in specialized stores"
ISAAC APPIAH SHOE MAKING SHOP,OPPOSITE AUNTIE SERWAA CHOP BAR,MENSAHKROM STREET,RAMIA,OBUASI,,249986804,Manufacture of footwear
ISAAC BOTWE RUNNER BUSHIND SHOP,ADJACENT GOIL FILLING STATION,BOETE ROAD,BOETE,OBUASI,,261632549,Maintenance and repair of motor vehicles
ISAAC ESSIEN'S SHOP,BEHIND OBUASI SENIOR HIGH TECHNICAL SCHOOL WALL,SAM JONAH ESTATE ROAD,KOFFEKROM,OBUASI,"P. O. BOX 222, OBUASI",248177572,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ISAAC MANU'S TAILORING SHOP,AT THE CONVEY BELT,,WAWASI,OBUASI,,NULL,"Manufacture of wearing apparel, except fur apparel"
ISAAC TWENEBOAH BARBERING SALON,OPPOSITE PADMOND SCHOOL,OBUASI-TUTUKA ROAD,KWABRAFOSO,OBUASI,,240462997,Hairdressing and other beauty treatment
ISAAC WOOD CORN AND CASSAVA MILL,TUTUKA MARKET,,SAMPSONKROM,OBUASI,,246697447,Manufacture of starches and starch products
ISAAC YAW NKANSAH CHEMICAL SHOP,"KOFFIE-KROM,SAM JONAH ROAD",,OBUASI-ADANSI,OBUASI,"P.O.BOX 758, OBUASI-ADANSI",NULL,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
ISAAC YEBOAH CHEMICAL SHOP,OPPOSITE HOUSE NO. NE78/A,ABOMPE NEW ESTATE ROAD,OLD ESTATE,OBUASI,"P. O. BOX 280, OBUASI",275903187,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
ISAAC'S WELDERING SHOP,BEHIND YAW FOSU PLAZA,,SAMPSONKROM,OBUASI,,249342983,Maintenance and repair of motor vehicles
ISABELLA BRAFO CHEMICAL SHOP,OPPOSITE BOATENG'S HOUSE,KOKOTEASUA ROAD,KOKOTEASUA,OBUASI,"P. O. BOX 34, OBUASI",545019858,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
ISHA ALLAH CHOP BAR,ADJACENT POLICE STATION COMPOUND,POLICE WALK STREET,CENTRAL,OBUASI,,544450647,Restaurants and mobile food service activities
ISHA ENTERPRISE,OPPOSITE TAXI STATION KOKOTEASUA,KOKOTEASUA TAXI STATION,KOKOTEASUA,OBUASI,,242709899,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ISHATU IBRAHIM'S FASHION SHOP,OPPOSITE BRYANT MISSION HOSPITAL,CHURCH OF GOD STREET/LANE,BOETE,OBUASI,,240911743,"Manufacture of wearing apparel, except fur apparel"
ISHATU MUMUNI'S JEWLLERY STORE,"BUILDING BEHIND ABUMU STORES, STORE NO. 33",ANTWI SAMBA DRIVE,NEW NSUTA,OBUASI,,246237323,Retail sale via stalls and markets of other goods
ISHATU'S SHOP,OPPOSITE ALLAH IS GREAT BEAUTY SALON,AMANKYEM ROAD,TUTUKA,OBUASI,,542999609,Other retail sale in non-specialized stores
ISMAILA RASHID ENTERPRISE,OPPOSITE GREAT 'F' BUSINESS,TUTUKA -AKROFUOM ROAD,TUTUKA,OBUASI,,242265150,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores"
ISRAEL NYEFO ENTERPRISE,BEHIND GOILD STATION,BOETE ROAD,BOETE,OBUASI,"P. O. BOX 390, OBUASI",246160482,Sale of motor vehicle parts and accessories
ISSAH ABDULALLAH ENTERPRISE,OPPOSITE ESTATE PUBLIC TOILET,,NEW ESTATE,OBUASI,,244286566,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ISSAH WELDING AND FABRICATIONS,STADIUM LAST STOP GATE 11,ABOMPE NEW SITE ROAD,OLD ESTATE,OBUASI,,265433956,Manufacture of structural metal products
ISSAKORE VENTURES,BEHIND THE ROMAN CATHOLIC CHURCH,,OBUASI-ASHANTI,OBUASI,"P.O.BOX 10,, OBUASI-ASHANTI",NULL,Other retail sale of new goods in specialized stores
IT'S A TIME ELECTRONICS,"TUTUKA MARKET, HOUSE NO. TT 2 B",,SAMPSONKROM,OBUASI,,246522347,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores"
ITALIAN SHOE SERVICES,ADJACENT CHURCH OF THE LORD ALADURA,,KWABRAFOSO,OBUASI,,268336938,Manufacture of footwear
IVON FREMA,CENTRAL MARKET STORE NO. 107 B,CENTRAL STATION ROAD,NEW NSUTA,OBUASI,,240134270,"Manufacture of wearing apparel, except fur apparel"
IB COMPUTERS AND ACCESSORIES,STORE NO. 47 CENTRAL MARKET,CENTRAL MARKET ROAD,,OBUASI,,549433171,Retail sale via stalls and markets of other goods
IBRAHIM ENTERPRISE,ADJACENT HOUSE NO. BH 7/A,BRAHABEBOME MAIN ROAD,BRAHABEBOME,OBUASI,,244236100,"Retail sale of hardware, paints and glass in specialized stores"
J. AIDOO CHEMICAL SELLER,OPPOSITE AMA YEBOAH'S STORE,,AHANSONYEWODEA,OBUASI,"P. O. BOX 203, OBUASI",NULL,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
J.B. ADDAI CHEMICAL SELLER'S SHOP,"ADJACENT TOWN HALL, BESIDES ADOM ARA KWA STORE",ANTWI SAMPA DRIVE,CENTRAL,OBUASI,"P. O. BOX 317, OBUASI",249366995,Retail sale of beverages in specialized stores
JAMES ADIYAAH LICENSED CHEMICAL SELLER,OPPOSITE BRAHABEBOME MARKET,,BRAHABEBOME,OBUASI,"P. O. BOX 302, OBUASI",242035652,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
JAMES ARTHUR RICE MIL,BY THE RAILWAY LINE,ECG ABOMPE ROAD,OLD ESTATE,OBUASI,,246201099,Manufacture of starches and starch products
JAMES EDWARD SAM LINCENSED CHEMICAL SHOP,OPPOSITE NATIONAL INVESTMENT BANK LIMITED,,KWABRAFOSO,OBUASI,"P. O. BOX 232, OBUASI",246401473,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
JAMES LOTTO KIOSK,OPPOSITE MALIK VENTURES,ABOAGYEKROM STREET,ABOAGYEKROM,OBUASI,,240942838,Gambling and betting activities
JANBEQUIN RICE STORE,HORSEY PARK STORE NO 65 BEHIND MELCOM,CENTRAL MARKET ROAD,NEW NSUTA,OBUASI,,207105265,"Retail sale via stalls and markets of food, beverages and tobacco products"
JANE STORE,OPPOSITE APPINTO PHONE REPAIRS,,TUTUKA,OBUASI,,243011571,"Wholesale of food, beverages and tobacco"
JANE'S FASHION CENTER,BEHIND INDEPENDENCE J.H.S B,ATOPLANS ROAD,BRAHABEBOME,OBUASI,,247993456,"Manufacture of wearing apparel, except fur apparel"
JANET AMPOFOWAAH CEHMICAL SHOP,KWAKU OTI'S HOUSE NO. A/K 10B,ABOAGYEKROM STREET,ABOAGYEKROM,OBUASI,,244692815,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
JANET ENTERPRISE,"TIMBER MARKET, BEHIND FILLING OF STATION",BOETE ROAD,BOETE,OBUASI,,244133519,"Retail sale of hardware, paints and glass in specialized stores"
JANET MINERAL DRINKS STORE,INFRONT HOUSE NO. NNB/15/B,ABOMPE NEWSITE ROAD,NEW NYAMEBEKYERE,OBUASI,,243722343,Retail sale of beverages in specialized stores
JANET OWUSU ANSAH'S STORE,"STORE NO. 9, OPPOSITE STORE NO. 56",CENTRAL MARKET ROAD,CENTRAL MARKET,OBUASI,,242511368,"Retail sale via stalls and markets of food, beverages and tobacco products"
JANET OWUSU'S BEAUTY SALON,OPPOSITE ST. PHILP'S CATHOLIC SCHOOL,ROMAN JUNCTION (ST. PHILP),BOETE,OBUASI,,248461886,Hairdressing and other beauty treatment
JANET'S BASE,BEHIND TIGO OFFICE,,RAILWAY,OBUASI,,247220424,Manufacture of wines
JANET'S PROVISION SHOP,OPPOSITE NATIONAL INVESTMENT BANK LTD,,KWABRAFOSO,OBUASI,,243807770,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
JAPAN RADIOS,STORE NO. 48.-CENTRAL MAREKT,CENRTAL MARKET,CENTRAL MARKET,OBUASI,,244386673,Retail sale via stalls and markets of other goods
JEFF JAY VENTURES,OPPOSITE THE MARKET MOSQUE,OKOFO SOBINKAN II ROAD,CENTRAL,OBUASI,,242248476,"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores"
JEGIEN ENTERPRISE LTD,,,OBUASI,OBUASI,"P.O.BOX 406, OBUASI",NULL,Other specialized construction activities
JEHANS PREPARATORY SCHOOL,BEHIND BETHANY CHURCH OBUASI NKAW.,,OBUASI,OBUASI,"P.O.BOX 739, OBUASI",NULL,Pre-primary and primary education
JEHOVAH BLESS FASHION CENTER,BEHIND AKOSAC,CENTRAL MARKET ROAD,NEW NSUTA,OBUASI,,207665685,Hairdressing and other beauty treatment
JEHOVAH EXPERIMENTAL SCHOOL,HOUSE NO. BH 73 JEHOVAH EXPERIMENTAL SCHOOL,ATOPLANS ROAD,BRAHABEBOME,OBUASI,,244187765,Pre-primary and primary education
JEHOVAH JIREH ENTERPRISE,OPPOSITE NATIONAL INVESTMENT BANK,,KWABRAFOSO,OBUASI,"P. O. BOX 477, OBUASI",243131125,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores"
JEHOVAH MY FORTTERS,UNDER ANGLO GLOD ASHANTI CONVEY,,WAWASI,OBUASI,,205801306,Hairdressing and other beauty treatment
JEHOVAH NE ME HWEFO FASHION CENTER,OPPOSITE HOUSE NO. KO/127,,KWABRAFOSO,OBUASI,,502555147,"Manufacture of wearing apparel, except fur apparel"
JEHOVAH NI SSI,OPPOSITE JOHN MENSAH'S HOUSE,WAWASI HIGH STREET,WAWASI,OBUASI,"P. O. BOX 392, OBUASI",248622136,Repair of other personal and household goods
JEHOVAH NISSE PUBLICATIONS,OPPOSITE ECG BUILDING,KOKOTEASUA ABOMPE ROAD,OLD ESTATE,OBUASI,"P. O. BOX 228, OBUASI",249974793,Service activities related to printing
JEHOVAH SHAMMAH ENTERPRISE,OPPOSITE PADMOND SCHOOL,TUTUKA-OBUASI ROAD,KWABRAFOSO,OBUASI,,272642825,"Retail sale of clothing, footwear and leather articles in specialized stores"
JEK-MONEY METAL WORKS,OPPOSITE TABUA VILLA,BOETE MAIN ROAD,BOETE,OBUASI,,243522972,Treatment and coating of metals; machining
JEMILOVE ENTERPRISE,,,OBUASI,OBUASI,", OBUASI",NULL,Other retail sale of new goods in specialized stores
JENNIFER BEUATY SALON,ADJACENT HOUSE NO. 102A/B,PIPE-LINE STREET,BOETE,OBUASI,,543136720,Hairdressing and other beauty treatment
JENNIFER FAMEYE SALON,OPPOSITE NYAME AKWAN ENTERPRISE,,NEW ESTATE,OBUASI,,247937057,Hairdressing and other beauty treatment
JENNIFER PEPRRAH WOOD SHOP,AT TIMBER MARKET BEHIND GOILD FILLING STATION,BOETE ROAD,BOETE,OBUASI,,269251143,Retail sale via stalls and markets of other goods
JEREMIAH 17:7 STORE,HORSEY PARK STORE BEHIND MELCOM,ECG ROAD,NEW NSUTA,OBUASI,,242159247,Other retail sale in non-specialized stores
JESJAM ENTERPRISE,OPPOSITE APATA KESIEMU,ANTWI SAMPA DRIVE,CENTRAL,OBUASI,"P. O. BOX 464, OBUASI",244786400,"Retail sale of clothing, footwear and leather articles in specialized stores"
JESUS CARE SCAN CENTRE,ADJACENT MEFACO PAHRMACY,WAWASI,WAWASI,OBUASI,"P. O. BOX 750, OBUASI",NULL,Other human health activities
JESUS CARES ENTERPRISE,BEHIND OBUASI SENIOR HIGH TECHNICAL SCHOOL,SAM JONAH ESTATE ROAD,KOFFEKROM,OBUASI,,278925244,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores"
JESUS IS ABLE COMPANY,KWAKU'S HOUSE OPPOSITE MALIK COLD STORE,ESIKAFOOAMANTEM STREET/AMANYEM ROAD,ABOAGYEKROM,OBUASI,,235093682,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores"
JESUS IS KING,HORSEY PARK STORE NO. 202,ECG ROAD,NEW NSTUA,OBUASI,"P. O. BOX 238, OBUASI",261305126,"Manufacture of wearing apparel, except fur apparel"
JESUS IS TEH ANSWER BEAUTY SALON,BEHIND THE CHIEF'S PALACE,,AHANSONYEWODEA,OBUASI,,236462349,Hairdressing and other beauty treatment
JESUS IS THE ANSWER BEAUTY CLINIC,OPPOSITE THE MOSQUE NO. 60,CENTRAL MARKET ROAD,NEW NSUTA,OBUASI,"P. O. BOX 267, OBUASI",242053127,Hairdressing and other beauty treatment
JESUS NEVER FAILS STORE,BEHIND SANTIAGO BUILDING,,OBUASI CENTRAL,OBUASI,,NULL,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores"
JESUS OS ABLE COMPANY,KWABENA NYAME'S HOUSE OPPOSITE MAAK VET COLD STORE,AMANKYEM ROAD,ABOAGYEKROM,OBUASI,,236445688,"Retail sale of clothing, footwear and leather articles in specialized stores"
JESUS OS LORD ENETERPRISE,INFRONT OF HOUSE NO. BH/77/A,ATOPLANS ROAD,BRAHABEBOME,OBUASI,,244584135,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
JESUS POWER FURNITURES,ADJACENT DR. JESUS SPECIAL FAST FOOD,AMANKYEM ROAD,TUTUKA,OBUASI,,249920282,Manufacture of furniture
JESUS SAVES LATEST FASHION,BEHIND HOUSE NO. TT/72/B,,TUTUKA,OBUASI,,242550297,"Manufacture of wearing apparel, except fur apparel"
JESUS TUMIWURA ENTERPRISE,ADJACENT SMAD HERBAL SHOP,OKOFO SOBINKAM II ROAD,CENTRAL,OBUASI,"P. O. BOX 36, OBUASI",243105957,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
JITA ACADEMY,BEHIND PALM. PALACE HOT.BRAHABEBOME,,OBUASI,OBUASI,"P.M.B.,, OBUASI",NULL,Pre-primary and primary education
JKO PHOTO AND VIDEO PRODUCTION,ADJCENT SANDY TORK STORE IN LINE WITH FIRST ALLIEDSAVINGS AND LOANS,EDUBIASE ROAD,ANTOBOASE,OBUASI,,NULL,Photographic activities
JOANA AGYIEWAA'S STORE,CENTRAL MARKET STORE NO. 36,CETRAL MARKET ROAD,CENTRAL MARKET,OBUASI,"P. O. BOX 602, OBUASI",268155981,"Retail sale via stalls and markets of textiles, clothing and footwear"
JOB ARTHUR FURNITURE SHOP,OPPOSITE OBUASI LABOUR OFFICE,WAWASI HIGH STREET,WAWASI,OBUASI,,247285171,Manufacture of furniture
JOBELLA PHARMACY,OPPOSITE GOD IS FAITHFUL ENTERPRISE,TUTUKA ROAD,TUTUKA,OBUASI,"P. O. BOX 1051, OBUASI",264121863,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
JOE ADDY FASHION SHOP,BEHIND TIGO OFFICE,,RAILWAY,OBUASI,,505158281,"Manufacture of wearing apparel, except fur apparel"
