ESTABLISHMENT NAME,EXACT LOCATION,STREET ADDRESS,SUBURB,TOWN NAME,POSTAL ADDRESS,TELEPHONE NO.,EMAIL,SECTOR,SIZE,,,,
KOK STORE,ADJACENT MARKET SQUARE,,,NAKPANDURI,,0200612388,,SERVICE,A,,,,
KOKOA SUUK GRINDING MILL,INFRONT OF SUUK HOUSE,NAJOUG ROAD,,JIIK NO2,,0201894440,,INDUSTRY,A,,,,
KOLANBIK KOFI BEAR BAR,INFRONT OF MANKA TALLORING SHOP,NAKPANDURI ROAD,CHINTLUNG NO1,CHNTLUNG  NO1,,0244061277,,SERVICE,A,,,,
KOLANLAAN JACOB JAKPER GRANDING MILL,INFRONT OF JACOB HOUSE,,KPUKEBOUK KOAN,NAJONG NO 2,,0247177388,,INDUSTRY,A,,,,
KOLGU DAHAMANI GRANDING MILL,INFRONT MARKET,NAJOUG ROAD,NAKURA FONG,YUNYOO,,0542664227,,INDUSTRY,A,,,,
KOMBAGU KUNKOGD/A PRIMARY SCHOOL,KAMBAGU,GBAKONI ROAD,,KAMBAGU KUNKOG,,0209185321,,SERVICE,A,,,,
KOMBAT BINATIN PROVISION  STORE,BEHIND SUUK HOUSE,NAJOUNG ROAD,KOMBIAN KOAN,CHINTLUNG NO1,,0549722344,,SERVICE,A,,,,
KOMBAT GRANDING MILL,GBADAUK,TOGO ROAD,,GBADAUK,,,,INDUSTRY,A,,,,
KOMBIK ENTERPRISE,OPPOSTE THE MOSQUE BIMBAGO,,,BIMBAGO,,0203480317,,SERVICE,A,,,,
KOMBIOK ESTHER PROVISION STORE,OPPOSITE TANBINI HOUSE,,,BIMBAGO,,0241489552,,SERVICE,A,,,,
KOMBIOK PHOTO,,RABITO ROAD,,BUKPURUGU,"P. O. BOX 2, BUNKPURUGU",0542924248,,SERVICE,A,,,,
KONBON JUA ENTERPRISE,,ZONGO  ROAD,,BUKPURUGU,"P. O. BOX 1, BUKPURUGU",0246705190,,SERVICE,A,,,,
KONCHAN GBEROG J H S,OPPOSITE THE MARKET,SAYEG ROAD,,KONCHAN,"P. O. BOX 25, NAKPANDURI",0506107542,,SERVICE,A,,,,
KONCHIAN GBEROG PRIMARY  SCHOOL,OPPOSITE GBEROG J H S,,,KONCHIAN,,0206700876,,SERVICE,A,,,,
KONCHION KWABENA GRANDING MILL,GBADAUK MARKERT,TOGO ROAD,,GBADAUK,"P. O. BOX 2, ",0249364900,,INDUSTRY,A,,,,
KONDUFUOG CHOP BAR,ADJACENT UNION OFFICE,TOGO ROAD,GBEROG KUNKUOG,KUNKUAK DAAN,,,,SERVICE,A,,,,
KONDUUK BEOANENG DRESSMAKING,ADJACENT SAMY MOSES,JIMBALE ROAD,NAGUAL,BUKPURUGU,"P. O. BOX 1, BUKPURUGU",0542337591,,INDUSTRY,A,,,,
KONFORT SALON,OPPOSITE CUSTOM BARRIER,,GBEROG KUNKUOG,KUNKUAK DAAN NO2,,0505194514,,SERVICE,A,,,,
KONGYAN STORE,20 METRE FROM ROUNDABOUT,NASUAN ROAD,,NAKPANDURI,,0541203329,,SERVICE,A,,,,
KONJATUGU GRANDING MILL,SOUTH KAMBAGU,KUNKWA DAAN ROAD,,KAMBAGU KUNKOG,,0544526372,,INDUSTRY,A,,,,
KONJIITMUNG SPOT,OPPOSITE BABA GRAND MILL,,GBEROG KUNKUOG,KUNKUAK DAAN NO2,,0500129543,,SERVICE,A,,,,
KONLAN DAKPIAP PROVISION STORE,ADJACENT BEFORE YOU DRINKING SPOT,,,BIMBAGO,,0248475314,,SERVICE,A,,,,
KONLAN DRINKIN SPOT,INFRONT OF KONLAN HOUSE,TATARA ROAD,,KINKANGO,,0248736536,,SERVICE,A,,,,
KONLAN EMMANUEL BIYATINS SHOP,SINSAJAINA MARKET,KUNKWA DAAN ROAD,,SINSABJINA,,0206701763,,SERVICE,A,,,,
KONLAN JACOB NAWANG ELECRTRICALS SHOP,INFRONT OF BOLEEB HOUSE,MARKET SQUARE,,NAJONG NO 1,,0241728711,,SERVICE,A,,,,
KONLAN JAKPELE  GRANDING MILL,ADJACENT KONLAN HOUSE,,,KINKANGO,,0248736536,,INDUSTRY,A,,,,
KONLAN MINDABE PROVISION STORE,INFRONT OF KONLA HOUSE,NAKPANDURI ROAD,BABONUK KOAN,NAJOUG NO2,,0206697328,,SERVICE,A,,,,
KONLAN SATENINBIA SPOT,BEHIND UNION OFFICE BIMBAGO,,,BIMBAGO,,0209827119,,SERVICE,A,,,,
KONLAN SOMIN GRANDING MILL,NEAR SOMIN HOUSE,,,JANGANDERI,,0240135445,,INDUSTRY,A,,,,
KONLAN YANNATAN PROVISION STORE,OPPOSITE CENTRAL MOSQUES,,,BIMBAGO,,0502352088,,SERVICE,A,,,,
KONLANBI DUBIK GRANDING MILL,INFRONGT OF KONLANBIK HOUSE,,LANGBEMONG,NAJOUG NO2,,0245637581,,INDUSTRY,A,,,,
KONLANBIK EMMANUEL GORIIVB PROVISION STORE,BEHIND BASOMES HOUSE,NAKPANDURI ROAD,NAMOUK,NAJOUG NO2,,0508487923,,SERVICE,A,,,,
KOTOKO DRINKING BAR,INFRONT OF ALEX HOUSE,TEMAA ROAD,,NASSUAN,,0549568479,,SERVICE,A,,,,
KPANLORE D/A J H S,INFRONT OF CHIEF PALACE,NASUN ROAD,,KPANLORE,,0546505818,,SERVICE,A,,,,
KPANLORE E/A PRIMARY SCHOOL,INFRONT OF CHIEF PALACE,NASUAN ROAD,,KPANLORE NO 1,,0265691760,,SERVICE,A,,,,
KPENTAUNG D/A PRIMARY SCHOOL,KPENTANG,,,KPENTAUNG,,0245215444,,SERVICE,A,,,,
KPIKPARGBINI  D/A PRIMARY SCHOOL,NEAR MANYIGMA HOUSE,,,KPIKPARGBINI,,0548431300,,SERVICE,A,,,,
KUAK EVANGELICAL LUTHRANCE CHURCH,NEAR CHAIRMANS HOUSE,BUNKPURIGU ROAD,,KAUK,,0508489197,,SERVICE,A,,,,
KUFUK PRIMARY SCHOOL,OPPOSITE CHIEF PALACE,,,KUFUK,"P. O. BOX 1, BUNKPURIGU",0206697644,,SERVICE,A,,,,
KUMMONG GBERKON PRIMARY SCHOOL,BEHIND CATHOLIC CHURCH,,,KUMMONG GBEROG,,0507863848,,SERVICE,A,,,,
KUMYET LATILIA CHEMICAL STORE,OPPOSITE MARKET BIMBAGO,,,BIMBAGO,,0502619258,,SERVICE,A,,,,
KUNDANUGU NGENLA GRANDING MILL,ADJACENT NGENLA HOUSE,,,JAHBATANBIDU,,0544425010,,INDUSTRY,A,,,,
KUNFORI D/A PRIMARY SCHOOLOL,TEMAA ROAD,TEMAA ROAD,,KUNFORI,,0268445293,,SERVICE,A,,,,
KUNGARI BUGRI PRIMARY SCHOOL,OPPOSITE LAAR HOUSE,NASUAN ROAD,9,NAKPANDURI,,0508854120,,SERVICE,A,,,,
KURU ENTERPRISE,JUST BY GPRTU BUILDING,,,BUNKPURUGU,"P. O. BOX 1, BUNKPURUGU",0206443355,,SERVICE,A,,,,
KUTTEEB FASHION SHOP,ADJACENT CONFIDENT HOUSE,,,BIMBAGO,,0542704969,,INDUSTRY,A,,,,
KWABENAS  STORE,OPPOSITEINTERNATIONAL SCHOOL,KANBAGU ROAD,,JANFIOK,,0246277660,,SERVICE,A,,,,
KWABINA FITERING SHOP,OPPOSITE OSI UNION OFFICE,ZONGO ROAD,DAGOBA AREA,BUNKPURUGU,"P. O. BOX 1, BUKPURUGU",,,SERVICE,A,,,,
KWAKU ENTERPRISE,OPPOSITE EBO BOYS,,,BUKPURUGU,"P. O. BOX 1, BUKPURUGU",0206631606,,SERVICE,A,,,,
KWAKU SPOT,ADJACENT POST OFFICE,,,NAKPANDURI,,0502768734,,SERVICE,A,,,,
KWALIK D/A PRIMARY SCHOOL,,,,KWALIK,"P. O. BOX 20, NAKPANDURI",0246124609,,SERVICE,A,,,,
KWALIK D/A PRIMARY SCHOOL,NEAR CHIEF PALACE,,,KWALK,,,,SERVICE,A,,,,
KWALIK MOSQUES,BEHIND TANYORI HOUSE,,,KWALIK,,,,SERVICE,A,,,,
KWAME  DRINKING BAR,INFRONT OF GARIBA HOUSE,,,KINKANGO,,0242588120,,SERVICE,A,,,,
KWAME BAR,,,,NAKPANDURI,,0544549642,,SERVICE,A,,,,
KWAME NKRUMAH GUEST HOUSE,ON THE HILL OUTSKIRTS TOWN,,,NAKPANDURI,,0203506724,,SERVICE,A,,,,
KWAME PROVISION STORE,OPPOSITE  LUTHERAN CHURCH,WANCHEKI ROAD,,GBINGBANE,,0542018484,,SERVICE,A,,,,
KWASI DRINKING SPOT,TAMBIEN JUNCTION,GIMBALE ROAD,,MANJEFUG,,0547526540,,SERVICE,A,,,,
KWESI ENTERPRISE,,ZONGO ROAD,,BUKPURUGU,,0547069206,,SERVICE,A,,,,
KWESI MARY DRESSMAKING CENTER,OPPOSITE THE MARKET,TATARA ROAD,,KINKANGO,,0543232339,,INDUSTRY,A,,,,
KWESI NANDAMA BUSINESS ENTERPRISE,KWESI HOUSE,,,WURAGBAN,,0541497764,,SERVICE,A,,,,
KWESI POUTRY FARM,SUUK KWESI HOUSE,,,PULIN KUAN,,0542053188,,AGRICULTURE,A,,,,
LAABIK KANDA PETROLEUM SHOP,ADJACENT OIL LASBER,JIMABALE   ROAD,NAGUAL,BUKPURUGU,"P. O. BOX 1, BUKPURUGU",0507461387,,SERVICE,A,,,,
LAABIK SAMSON KOK KOK CHEMICALS,OPPOSITE BIMBAGO MARKE,,,BIMBAGO,,0507460243,,SERVICE,A,,,,
LAALI YAKUBU BARBERY SHOP,BEHIND LIMAM SALIFU MOSQUES,TEMAA ROAD,,NASSUAN,,0245662224,,SERVICE,A,,,,
LAAR ABUD GRANDING MIL,OPPOSITE AZUMAH HOUSE,,,JANGANDERI,,0541178721,,INDUSTRY,A,,,,
LAAR BARIB DRUGS STORES,INFRONT OF YANDAM HOUSE,NAKPANDURI ROAD,GBEGBEMON,NAJONG NO 1,,0502773859,,SERVICE,A,,,,
LAAR BIAKALATSPOT,NEAR BIAKALAT HOUSE,,,GBINGBALANCHET,,0540909183,,SERVICE,A,,,,
LAAR BIILA GRANDING MILL,INFRONTOF LAAR HOUSE,,SECTION C,NUAG,,0240192169,,INDUSTRY,A,,,,
LAAR DAMIRI GRANDING MILL,OPPOSITE D/A PRIMARY SCHOOL,,,NABULIG,,0508489170,,INDUSTRY,A,,,,
LAAR JOSEPH PROVISION STORE,BEHIND DAVID HOUSE,,KOMBIA KOAN,CHINTILUNG NO2,,0248691202,,SERVICE,A,,,,
LAAR KPARIPUKING BEAR BAR,INFRONT OF KWASI HOUSE,NAKPANDURI ROAD,GBABOUK,NAJOUGNO2,,0547480145,,SERVICE,A,,,,
LAAR KWABWENA GRANDING MILL,NEAR KWABENA HOUSE,,,JANGANDERI,"P. O. BOX 8, ",0541110001,,INDUSTRY,A,,,,
LAAR TAILORING SHOP,ADJACENT ABDALA PROVISIONS,,,NAKPANDURI,,0540217739,,INDUSTRY,A,,,,
LAAR YEJAGNAK BICYCLE SPARE PARTS CENTER,OPPOSITE THE MARKET,TATARA ROAD,,KINKANGO,,0540793725,,SERVICE,A,,,,
LAARBIK SAMSON KOK ELETRICALS SHOP,OPPOSITE MARKERET BIMBAGO,,,BIMBAGO,,0547460243,,SERVICE,A,,,,
LAARI KOMONG PROVISION STORE,INFRONT OF LAARI HOUSE,,,JILIK NO2,,0502063758,,SERVICE,A,,,,
LAARI LAMBON STORE,OPPOSITE STAR OIL LABISTAR,JIMBAL ROAD,NAGUAL,BUKPURUGU,"P. O. BOX 1, BUKPURUGU",0245981348,,SERVICE,A,,,,
LAARIBA KAMOA MECHANIC,OPPOSITE LYDIA SPOT,CATHOLIC CHURCH ROAD,SAAKAAB AREA,BUKPURUGU,"P. O. BOX 2, BUKPURUGU",0248406233,,SERVICE,A,,,,
LAARIBA TAILORING SHOP,OPPOSITE NAKINIB HAIR DRESSES SHOP,JIMBALE WAWA ROAD,JIMBALE,JIMBALE,,,,INDUSTRY,A,,,,
LAARISON ENTERPRISE,LAAR HOUSE,CLINIC ROAD,,BUNKPURUGU,"P. O. BOX 1, BUNKPURUGU",0543972554,,SERVICE,A,,,,
LAARPIONG SHOP,SINSABJINA MARKET,KONKWA DAAN ROAD,,SINSABJINA,,0202916240,,INDUSTRY,A,,,,
LABIK DAMAAT DRINKING BAR,KAMBATIAK MARKET,KUNKWA DAAN ROAD,,KAMBATIAK,,,,SERVICE,A,,,,
LAFATIN TAILORING SHOP,JIMBALE STATION,,5,JIMBALE,,,,INDUSTRY,A,,,,
LAFIA BOOR CHEMICAL SHOP,GBADAUK MAEKERT,TIGO ROAD,,GBADAUK,,0542174540,,SERVICE,A,,,,
LAFISCO SPOT,BY THE PRIMARY SCHOOL,GBANKONI ROAD,,KAMBAGU KUNKOG,,,,SERVICE,A,,,,
LAM ENTERPRISE,MOJUA KAA HOUSE,,,BUKPURUGU,"P. O. BOX 1, BUKPURUGU",,,SERVICE,A,,,,
LAMBON AZUMAH PROVISION SHOP,INSIDE MARKET,,,NGAMA GBEROG,,0546416359,,SERVICE,A,,,,
LAMBON DANIELS DRUG STORE,OPPOSITE JABONG DRUG STORE,GBANKURUGU ROAD,NAKOLIC,BUNBUNA,,0546904472,,SERVICE,A,,,,
LAMISI NANCY PROVISION STORE,SEIDU FILLING STATION,,,NAKPANDURI,,0547435489,,SERVICE,A,,,,
LAMISI SIMON DRESSMAKING,JIMBALE JUNCTION,,NAGUAL,BUKPURUGU,,0545567102,,INDUSTRY,A,,,,
LAMISI TAANAS SHOP,ADJACENT OF BUTCHER SHOP,,,NAKPANDURI,,0248268246,,SERVICE,A,,,,
LAMONG STORE,ADJACENT CATHOLIC CHURCH,NAKPANDURI ROAD,,TOOBONG,,0209927547,,SERVICE,A,,,,
LAS BAEEIER SPOT,BEHIND PEACE MAN HOUSE,,,NAIK DANIA GBEROG,,0507674964,,SERVICE,A,,,,
LATIF SPOT,OPPOSITE FITTING SHOP,,,BINDE,,0549138908,,SERVICE,A,,,,
LESKEN BAR,ADJACENT BORE HOLE,NALERIGU  ROAD,,NAKPANDURI,,0208779235,,SERVICE,A,,,,
LIBAKITIB STORE,LIBAKITIB HOUSE,GBIGBANE ROAD,,BOMTUUK,"P. O. BOX 82, ",0502770565,,SERVICE,A,,,,
LIBENNIWEY GRANDING MILL,NDAAR HOUSE WURAGBAN,PULOTI ROAD,,WURAGBAN,,0247144356,,INDUSTRY,A,,,,
LIFE AFRESH SPOT,ADJANCENT MADAM SARAFINS HOUSE,,,NAKPANDURI,,0205361233,,SERVICE,A,,,,
LIIYAB ENTERPRISE,ADJACENT ASSEMBLIE OF GOD,,,BIMBAGO,,0247362943,,SERVICE,A,,,,
LIKTEENKWA BAR,NEAR MARKRET,,,NGEMA GBEROG,,0248760356,,SERVICE,A,,,,
LIMANGSIAB ENTERPRISE,MARKERT SQUARE,ZONGO ROAD,,BUKPURUGU,"P. O. BOX 1, BUNKPURUGU",0548130111,,SERVICE,A,,,,
LINPOKON ENTERPRISE,ADJACENT NASIABOK S D A CHURCH,,,NASIABOK,,0508854141,,SERVICE,A,,,,
LITEM GRANDING MILL,OPPOSITE LITEM WIEB HOUSE,,,KOMPIONG,,0262666569,,INDUSTRY,A,,,,
LITTLE FLOWER ACADEMY INTERNATIONAL SCHOOL,AT MR.ADOK'S HOUSE NAJONG NO.1,,NAJONG NO.1,NAJONG II,"P.O.BOX 2,, NAJONG NO.1",,,SERVICE,A,,,,
LIVE  KULOCK DRINKING BAR,NAMONG JUNCTION,,,NAMONG,,0264643856,,SERVICE,A,,,,
LIVING FAITH INTERNATIONAL SCHOOLOL,INSIDE MARKERT,GBANKURUGU ROAD,,GBANKURUGU,,0505177043,,SERVICE,A,,,,
LIWAL SAMSON  DRINKING SPOT,ON LIFT TO NAKPANDURI,,,NAMONG,,0265889894,,SERVICE,A,,,,
LOADAMOK STORE,BESFA RURAL BANK,,,NAKPANDURI,,0247527062,,SERVICE,A,,,,
LOM COMMUNITY RADIA,OPPOSITE OUNDO FILLING STTION,ASSEMBVLIE ROAD,TAMPANG AREA,BUKPURUGU,"P. O. BOX 2, ",0206696688,,SERVICE,A,,,,
LOVE  AND CARE BEAUTY SALON,JABON HOUSE,,SANJAAK AREA,BUKPURUGU,"P. O. BOX 1, BBUKPURUGU",0249655382,,SERVICE,A,,,,
LOVE AND CARE BEAUTY SALON,ADJACENT BESFA RURAL BANK,,,NAKPANDURI,,0241256962,,SERVICE,A,,,,
LOVE AND PEACE DRINKING SPOT,SAUK BAUK,YOMBOURI ROAD,,SAUK BAUK,,0248612130,,SERVICE,A,,,,
LOVE JESUS CHEMICAL,OLD POLICE STATION,,SANJAAR AREA,BUKPURUGU,"P. O. BOX 1, BUNKPURUGU",0247732685,,SERVICE,A,,,,
LOVER INN,SEIDU FILLING STATION,,,NAKPANDURI,,0545817858,,SERVICE,A,,,,
LOVER INN,SEIDU FILLING STATION,,,NAKPANDURI,,0545817858,,SERVICE,A,,,,
LUCKY SPOT,OPPOSITE MOROSEHOUSE,,,KUMMONG GBEROG,,0248819996,,SERVICE,A,,,,
LUKMAN STORE,ADJACENT GRANDING MILL  AYIBAN HOUSE,,,NAKPANDURI,,0245995302,,SERVICE,A,,,,
LUKUMAN PROVISION STORE,OPPOSITE LUKMAN HOUSE,,,MAZIO,,0261386434,,SERVICE,A,,,,
LUTHERAN CHURCH,INFRONT OF KAALAAN HOUSE,,,KPANLORE,,0242404809,,SERVICE,A,,,,
LUTHERAN CHURCH,NEAR ANTHONY,,,NANYON,,0240359782,,SERVICE,A,,,,
LUTHERAN CHURCH,ADJACENT BERIMAMONG SPOT,TUSUG ROAD,,NANPONTBAOK,,0500074633,,SERVICE,A,,,,
LUTHERAN CHURCH,OPPOSITE A/G PRIMARY SCHOOL,,,NAKPANDURI,,0202167448,,SERVICE,A,,,,
LUTHERAN CHURCH,OPPOSITE THE MARKERT,CHALIPONI ROAD,,GBINGBANE,"P. O. BOX 2, BUNKPURIGU",0545464623,,SERVICE,A,,,,
LUTHRAN CHURCH,NEAR  NACHINBORI HOUSE,,,TEMAA,,0261876285,,SERVICE,A,,,,
LUTHREN CHURCH,TOJING DAUK,KINKOGU ROAD,,JOJING DAUK,,,,SERVICE,A,,,,
LYDIA SPOT,SAAFABIR HOUSE,CHATHOLIC ROAD,SAAKAAB KUAN,BUNKPURUGU,"P. O. BOX 2, BUKPURUGU",0247277769,,SERVICE,A,,,,
LYMOS ENTERPRISE,MOYOM HOUSE,,SANJAAK AREA,BUNKURUGU,"P. O. BOX 1, BUKPURUGU",0246013422,,SERVICE,A,,,,
MAAME DRINKING SPOT,OPPOSITE DUUT HOUSE,,,BIMBAGO,,0240083626,,SERVICE,A,,,,
MAASE GRANDING MILL,TUNA MAEKET SQUARE,NAMONGO  ROAD,TUNA NO 2,KOMIE,,,,INDUSTRY,A,,,,
MAASHA ALLAH ENTERPRISE,ADJACENT AMEZING SALON,,,NAKPANDURI,,0240478212,,SERVICE,A,,,,
MAATA PITO BAR,ADJACENT ONAABON STORE,TEMAA ROAD,,NASSUAN,,0548265091,,SERVICE,A,,,,
MAATET GRAND MILL,BOLIKIT HOUSE,NABAL ROAD,,TAMBIEN,,0261299621,,INDUSTRY,A,,,,
MADAM ABENAS PITO,OPPOSITE NANBOR HOUSE,CATHOLIC CHURCH ROAD,KONBONNAAB  FONG,BUKPURUGU,"P. O. BOX 2, BUNKPURUGU",0247521983,,SERVICE,A,,,,
MADAM ABUDU JAMILATU HAIR DRESSINGSHOP,INFRONT OF AREA COUCIL,NAJOUG ROAD,,YUNYOON,,0206697247,,SERVICE,A,,,,
MADAM ABULUWA SALON,,NASUAN ROAD,,NAKPANDURI,,0503259353,,SERVICE,A,,,,
MADAM ALICE DRINKING BAR,GBINGBANE MAIN STATION,CHARIPONI,,GBINGBANE,,0247732125,,SERVICE,A,,,,
MADAM AMA PROVISION,OPPOSITE HARMOMNY SHOP,NALERIGU ROAD,,NAKPANDURI,,0247476659,,SERVICE,A,,,,
MADAM AMINA LADIES HAIR DRESSING,NEAR MARKET,BUNKPURI ROAD,,GBINGBANE,,0240403505,,SERVICE,A,,,,
MADAM BIGANNING PROVISION STORE,INFRONT NAWAAB HOUSE,BUNKPURUGU ROAD,,KAUK,"P. O. BOX 2, ",0249116587,,SERVICE,A,,,,
"MADAM D ,S STORE",OPPOSITE VIEW STATION,BUNKPURIGU ROAD,,NAKPANDURI,,0506220644,,SERVICE,A,,,,
MADAM FATIMAH STORE,BESFA RURAL BANK,,,NAKPANDURI,,0248452606,,SERVICE,A,,,,
MADAM FAUTINA FASHION CENTER,MAMBORA JINJER HOUSE,,SAKAABGBEN FONG,BUKPURUGU,"P. O. BOX 1, BUNKPURIGU",0545218500,,INDUSTRY,A,,,,
MADAM GLADY PRINTING PRESS,OPPOSITE STAR OIL FILLING STATION,JIMBALE ROAD,NAGUAN,BUNKPURUGU,"P. O. BOX 1, BUKPURUGU",0206614804,,SERVICE,A,,,,
MADAM HANNAH DRIKING SPOT,NEAR ZOOMLION OFFICE,DA PRIMARY ROAD,JABDAWUUL,BUKPURUGU,"P. O. BOX 1, BUKPURUGU",0248125836,,SERVICE,A,,,,
MADAM HAWA RESTAURANT,INFRONT OF RED REPUBLIC BAR,TEMAA ROAD,,NASSUAN,,0245553193,,SERVICE,A,,,,
MADAM KINANSUA DRESS MAKING CENTER,,ZONGO ROAD,DAGOMBA LINE,BUKPURUGU,"P. O. BOX 1, BUKPURUGU",0248990633,,INDUSTRY,A,,,,
MADAM KOK SALON,OPPOSITE BESFA RURAL BANK,,,NAKPANDURI,,0240478234,,SERVICE,A,,,,
MADAM KUJENTERPRISE  BEER BAR,OPPOSITE JOHN PROVISION STORE,,WUNWOOK,CHINTLUNG NO2,,0541165484,,SERVICE,A,,,,
MADAM LUCY STORE,OPPOSITE NEW GLORY CHEMICALS,NASUANROAD,,NAKPANDURI,,0245244356,,SERVICE,A,,,,
MADAM LUKY PITO CENTER,MADAM LUCY HOUSE,CATHOLIC CHURCH ROAD,SAKABGBEN FONG,BUNKPURUGU,"P. O. BOX 2, BUKPURUGU",0545067401,,SERVICE,A,,,,
MADAM MIIBAN TAILORING SHOP,OPPOSITE NEW GLORY CHEMICALS,NASUAN ROAD,,NAKPANDURI,,0200798624,,INDUSTRY,A,,,,
MADAM NAMIRKA BAR,MUSAH HOUSE,,,NAKPANDURI,,0507804141,,SERVICE,A,,,,
MADAM PATIENCE BUTIK,SAMOB HOUSE,,SANJAAK AREA,BUKPURUGU,"P. O. BOX 1, BUKPURUGU",0547486069,,SERVICE,A,,,,
MADAM RASHIDA FASHION SHOP,INFRONT OF PIDIANSOA HOUSE,NAJOUG ROAD,NAKURAFONG,YUNYOO,,0545517336,,SERVICE,A,,,,
MADAM SUUK MONICA TALLORING SHOP,INFRONT OF DUUT HOUSE,NAKPANDURI ROAD,GBEGBEMON,NAJONG NO 1,,0540836171,,INDUSTRY,A,,,,
MADAM TENI HAIR DRESSING SHOP,JIMBALE STAION,,,JIMBALE,,,,SERVICE,A,,,,
MADAM YENNUKON TAILORING SHOP,ADJACENT POST OFFICE,BUNKPURIGU ROAD,,NAKPANDURI,,0247111866,,INDUSTRY,A,,,,
MAFINTUN GRANDING MILL,TAAJOMM HOUSE,GUSHEGU ROAD,,SABONJIDA,,0266460475,,INDUSTRY,A,,,,
MAHAMADU JATO PROVISIONS STORE,BEHIND BUTCHERS ROOM,NAKPANDURI ROAD,,NASUAN,,0547607724,,SERVICE,A,,,,
MAHAMAH ADAM MOSQUE,INFRONT OF OLD CHIEF HOUSE,,,KPANLORE NO 1,,0266720569,,SERVICE,A,,,,
MAJEA D/A PRIMARY SCHOOL,OPPOSITE LUCK HOUSE,,,MAJEA,,0243239681,,SERVICE,A,,,,
MAJIDA ADAM PROVISIONS STORE,MARKET SQUARE,NASSUAN ROAD,,BOATERIGU,,0241778457,,SERVICE,A,,,,
MAJORT WULAN GRINDING MILL,BY MAJORT HOUSE,,,KPIKPARGBINI,,0548993849,,INDUSTRY,A,,,,
MAKINIB MONICA TAILORING SHOP,BEHIND BASOME HOUSE,NAKPANDURI ROAD,NAMOUK,NAJONG,,0508690375,,INDUSTRY,A,,,,
MALAM ABU MOSQUE,BEHIND CHIEF PALACE,TEMAA ROAD,,NASSUAN,,0548265091,,SERVICE,A,,,,
MALAM ALI MOSQUES,ADJACENT MALAM ALI HOUSE,NASUAN ROAD,,SANVUSI,,0541986282,,SERVICE,A,,,,
MALAM ENTERPREISE,BONABONA HOUSE,ZONGO ROAD,DAGOMBA LINE,BUKPURUGU,"P. O. BOX 1, BUKPURUGU",0200582873,,SERVICE,A,,,,
MALENMOB FUEL SHOP,MARKET ROAD,GUSHEGU ROAD,,GBADOLI,,0245553252,,SERVICE,A,,,,
MAMA MAUKA TAILLORING SHOP,ADJACENT NEW GLORY CHEMICAS,,,NAKPANDURI,,0248452646,,INDUSTRY,A,,,,
MAMARA GRINDING MILL,OPPOSITE BINDE MARKET,,,BINDE,,0242563739,,INDUSTRY,A,,,,
MAMBORA ENTERPRISE BUNKPURU,BAMMILAARS HOUSE,CATHOLIC CHURCH ROAD,SAKAGBEN AREA,BUNKPURUGU,"P. O. BOX 1, BUKPURUGU",0248998104,,SERVICE,A,,,,
MAMBORA GINGER GRINDING MILL,MAMBORAS HOUSE,CHURCH ROAD,KONBONAAB KUAN,BUNPKURUGU,"P. O. BOX 2, BUKPURUGU",0509259539,,INDUSTRY,A,,,,
MANAGER STORE,,,,NAKPADURI,,0200474401,,SERVICE,A,,,,
MANANYINAN ALIDU PROVISION STORE,INFRONT OF ALIDU HOUSE,NASSUAN ROAD,,BIMBAGU,,0241098284,,SERVICE,A,,,,
MANDO SANA TAILLORING SHOP,OPPOSITE D/A PRIMARY SCHOOL,,,SAMBIK,,0502770631,,INDUSTRY,A,,,,
MANGOR D/A PRIMARY SCHOOL,MANGOR,WAWA ROAD,,WAWA,"P. O. BOX 11, NAKPANDURI",,,SERVICE,A,,,,
MANJEFUGU PRIMARY SCHOOL,TAMBIAN JUNCTION,GBINTIRE,,MANJEFUG,"P. O. BOX 12, BUNKPURIGU",0249138994,,SERVICE,A,,,,
MANTANA D/A PRIMARY SCHOOL,NEAR JACOBS HOUSE,,,MANTANA NO 1,"P. O. BOX 20, NAKPANDURI",0549348149,,SERVICE,A,,,,
MAPARIR SIBIDI GRINDING MILL,BEHIND CHIEF PALACE,,,NASUAN B,,0265722992,,INDUSTRY,A,,,,
MARRY DRESS MAKING SHOP,NAYNA JUCTION MANJEFUG,GBINTIR ROAD,,MANJEFUGU,,0249138994,,INDUSTRY,A,,,,
MARTEY SHOP,ADJACENT BESSFA RURAL BANK,,,NAKPANDURI,,0241547180,,SERVICE,A,,,,
MARTEY STORE,OPPOSITE SILIM LAAR HOUSE,BUNKPURIGU ROAD,,NAKPANDURI,,0508677446,,SERVICE,A,,,,
MARTHA TAILLORING SHOP,OPPOSITE FEEL HOME SPOT,,,NAKPANDURI,,0544217355,,INDUSTRY,A,,,,
MARTIN KONLAN GRINDING MILL,INFRONT OF KONLAN HOUSE,BAROKOSI ROAD,,KINKANGO,,0244715972,,INDUSTRY,A,,,,
MARY SALON,ADJACENT COOL BASE,,,NAKPANDURI,,0505002570,,SERVICE,A,,,,
MASARA N ARZIK ASSOCIATION,,TOGO ROAD,,KINKANGO,,0247176993,,AGRICULTURE,A,,,,
MASHA -ALLAHU ICT CENTRE,OPPOSITE INTERLINKS MICRO FINANCE,,,NAKPANDURI,"P. O. BOX 2, ",0507907571,,SERVICE,A,,,,
MASUBILI TAILORING SHOP,OPPOSITE THE GRANDING MILL,JIMBALI ROAD,,WAWA,,0506911677,,INDUSTRY,A,,,,
